Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,favorites,user profile clicks,url clicks,hashtag clicks
6.49E+17,https://twitter.com/USCTrials/status/649293177409679360,Diagnosed with #KidneyCancer? Leading researcher David Quinn @KeckMedUSC is looking for #ClinicalTrial participants http://t.co/gispyAPj8L,2016-06-20 21:56:23,424,3,0.007075472,12,0,2,0,1,0
6.49E+17,https://twitter.com/USCTrials/status/649064976133525504,This clinical research study for #GynCSM is now accepting participants http://t.co/ea2ktYDEf9 http://t.co/RIuqAn51Jz,2016-11-13 10:11:35,411,8,0.01946472,3,0,1,1,4,0
6.49E+17,https://twitter.com/USCTrials/status/648875195688714240,Looking to test a medical device? Partner with #ClinicalTrial experts @KeckMedUSC http://t.co/kV7gLV5WT4,2016-01-22 3:29:41,548,8,0.01459854,3,0,2,3,1,0
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GLOBAL #STATISTICS UPDATE(http://t.co/OsqHqoJixA)Top Percentile of all Genres in the #World.Among 4 Million Industry Professionals. #USA",2016-05-30 4:25:15,548,23,0,223,2,2,3,12,
6.54E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @rugbyworldcup: Huge thank you LEEDS. Perfect hosts for #ITA #CAN #SCO &amp; #USA. 1 weekend, 2 games, 96 points, 66,641 fans #RWC2015 http:…",2016-02-04 1:16:15,1769,42,2,413,0,8,2,14,
6.54E+17,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","DEPOSIT NOW &amp; GR88 WILL DOUBLE YOUR MONEY INSTANTLY!!

THAT'S UPTO £100 #FREE!

&gt; http://t.co/hfhGjXJoUe #BINGO #USA http://t.co/J6t9kA9xMA",2016-11-26 5:8:54,4551,25,1,227,0,1,0,16,
6.54E+17,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",#ultimate http://t.co/tt9w7PDHy0 For Sale: DJI Phantom 2 VERSION 3 RTF UAV… http://t.co/3wL2FsIJjc #usa #drone… http://t.co/pfJgesotEp,2016-02-24 19:54:19,1257,9,2,483,0,9,1,11,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @OneLadyLibra: What next for these innocent souls? Can #Saudi &amp; it's Coalition AND their enablers answer these #YemenChildren? #USA http…,2016-07-25 1:41:3,1011,0,1,310,2,5,5,15,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @OraliaSotoRoman: #Autumn #Arboretum #Dallas #usa http://t.co/EqpXogBpx9,2016-01-21 21:50:30,3174,40,2,61,0,0,2,2,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PIC: Former VP Namadi Sambo hospitalized in #USA http://t.co/pOvaWDsh1u #Nigeria #UK #DXB #Dubai #MyDubai #UAE #HaveYouDoneitNG #NIGHTCAFE,2016-05-24 7:55:54,3617,31,1,199,2,9,2,0,
6.54E+17,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","15:10 #USA #Join #New #Auction #Site, No #Selling Fees! Member Fee Only! #Free #Lifetime #Member #Upgrade #Special! http://t.co/VClmEXsvKD",2016-03-02 2:40:41,4786,30,1,393,2,9,5,3,
6.54E+17,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","15:10 #USA What was 1st, chicken (users) or the egg (listings)? #USERS! #Join &amp; get #Lifetime #Member #Upgrade #Free! http://t.co/uvtNFAiJRx",2016-07-31 18:5:43,2893,13,2,336,1,5,6,11,
6.54E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Dawg_Dynasty #USA <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>,2016-04-22 7:50:38,604,42,0,408,0,2,5,13,
6.54E+17,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",This #IT #job might be a great fit for you: Developer - http://t.co/nnnoRsx3y0 #USA #Veterans #Hiring #CareerArc,2016-08-28 11:57:30,612,17,0,452,2,10,3,9,
6.54E+17,"<a href=""http://share.radionomy.com"" rel=""nofollow"">Share.Radionomy.com</a>","---&gt;&gt; http://t.co/tetzqItyma

THE BEST OF 80's MUSIC
#NOWPLAYING
 Stevie Wonder
 Part time lover

#Webradio #Hits #France  #USA #RT",2016-07-12 19:26:59,4289,21,1,196,0,7,6,1,
6.54E+17,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","RT @earth___planet: Genesee River, #NewYork #USA http://t.co/tC6DdGZkoU",2016-04-02 7:55:3,4687,33,0,178,1,3,6,4,
6.54E+17,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",Want to work at Oracle? We're #hiring in #USA! Click for details: http://t.co/mNQDaP5UMq #IT #Job #Jobs #CareerArc,2016-05-01 12:27:28,2122,20,1,131,0,4,6,6,
6.54E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @geovannyvicentr: Thanks @CR_School for recognizing the progress of your students #CRSchoolDC #CarlosRosarioSchoolDC #Latinos #DC #USA h…,2016-05-22 12:54:20,1382,37,1,340,2,8,5,0,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",#cuba #bolivia #usa Cinco décadas al servicio de la ciencia de la atmósfera. Aniversario ... http://t.co/0rWmXk1lBA #chile#europa#espana,2016-05-29 5:15:4,3531,29,1,432,2,2,1,15,
6.54E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @OneLadyLibra: What next for these innocent souls? Can #Saudi &amp; it's Coalition AND their enablers answer these #YemenChildren? #USA http…,2016-05-31 13:21:36,4624,45,2,306,1,5,3,4,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Obama yells ""FORE!""

#USA dropping tons of ammo into the middle of nowhere
hoping the “right” people find it
#Syria
http://t.co/yo1DEBIEEN",2016-11-09 8:48:44,1985,24,1,379,2,3,1,8,
6.54E+17,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",<ed><U+00A0><U+00BD><ed><U+00B9><U+008A> #weloveredhair #weloveredheads #orlando #usa @ Orlando - Florida EUA https://t.co/6N4vyT2wmm,2016-08-16 1:52:34,3211,17,0,291,1,10,4,1,
6.54E+17,"<a href=""https://twitter.com/Col_Connaughton"" rel=""nofollow"">Colin's Autotweeterpro5.3</a>",#USA Res/Cits : Sign #US #Petition to #Arrest #Netanyahu https://t.co/wwOiq947CZ #UN #gaza #palestine #israel http://t.co/xq2PAmRbaf,2016-09-06 13:25:56,4488,19,2,9,1,5,5,16,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We are Galactic History, Fans!
We are on a Mission too Mars.
@NASA #NASA #NASASocial 
#USA #MARS (03/04/2016 Launch) http://t.co/s4Wym8t1pz",2016-08-12 19:37:9,4174,4,0,29,2,4,2,3,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@FescatAPP @RamonSans16 @fredforcat 
Vive la #LIBERTÉ
Vive la #Catalogne
Vive le peuple #Catalan
https://t.co/HSIA6ZHe0f
#Québec #ONU #USA",2016-08-01 15:29:54,874,44,2,36,0,4,1,15,
6.54E+17,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",We're #hiring! Read about our latest #job opening here: OTR Truck Driving Job - Home Bi-Weekly -... - http://t.co/cxuBxSiHFk #USA #Veterans,2016-04-18 18:41:46,4882,23,1,424,0,4,2,16,
6.54E+17,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>",Philips North America: Sr. Consulting Manager (#USA) http://t.co/EHr8LjLpz3 #BusinessMgmt #Job #Jobs #Hiring,2016-08-20 20:21:48,2454,29,2,291,0,0,6,9,
6.54E+17,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",Can you recommend anyone for this #BusinessMgmt #job? http://t.co/2wwa6WIAbw #USA #Hiring #CareerArc,2016-03-15 10:42:4,1511,30,2,498,1,8,1,7,
6.54E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thanks @CR_School for recognizing the progress of your students #CRSchoolDC #CarlosRosarioSchoolDC #Latinos #DC #USA http://t.co/XS3iHVrsS5,2016-10-20 6:59:55,842,33,0,122,1,2,4,4,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#Urgent prayers:
For #ISRAEL No Stabbing
For #CANADA Federal Election in a week
For #USA upcoming 2016 Election #Pray http://t.co/kbsRSbwOzh",2016-04-29 19:3:14,3818,23,2,155,0,9,0,12,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",#MLS #Soccer Russia and Slovakia qualify for 2016 European Championship (The Associated Press)  #USA  http://t.co/CytGsHW45L,2016-04-17 14:37:55,4059,22,0,283,1,9,1,14,
6.54E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Americans are #stressed #USA  https://t.co/gattLEHQ6n,2016-09-04 11:5:34,2960,23,0,145,1,0,5,3,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",#MLS #Soccer Russia and Slovakia qualify for 2016 European Championship (The Associated Press)  #USA  http://t.co/fsNaV3lUXf,2016-06-01 17:9:57,4791,21,0,316,1,4,6,10,
6.54E+17,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @BhattNaturally1: @TheBoodge66 @popstherock33 @marylene58 @stevej132 @ThePatriot143 @redlinepatriot @MikeWalters19  #USA Cair 2 - whoa h…,2016-09-07 22:45:45,4057,21,2,267,2,1,5,9,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",#MLS #Soccer Perfect 10 for England in Euro 2016 qualifying (The Associated Press)  #USA  http://t.co/fsNaV3lUXf,2016-05-17 6:28:56,4652,48,0,435,0,6,6,15,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",#MLS #Soccer Perfect 10 for England in Euro 2016 qualifying (The Associated Press)  #USA  http://t.co/CytGsHW45L,2016-05-12 19:31:49,3430,9,0,115,0,6,0,7,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","#MLS #Soccer Slovakia beats Luxembourg 4-2, qualifies for Euro 2016 (The Associated Press)  #USA  http://t.co/CytGsHW45L",2016-02-02 21:56:9,2413,10,1,231,0,1,2,3,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","#MLS #Soccer Slovakia beats Luxembourg 4-2, qualifies for Euro 2016 (The Associated Press)  #USA  http://t.co/fsNaV3lUXf",2016-03-04 4:59:43,3756,37,0,189,2,3,0,3,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",#MLS #Soccer AP Source: Lack of written contract led to FIFA suspensions (The Associated Press)  #USA  http://t.co/CytGsHW45L,2016-01-17 2:24:4,3968,33,0,313,1,7,4,7,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",#MLS #Soccer AP Source: Lack of written contract led to FIFA suspensions (The Associated Press)  #USA  http://t.co/fsNaV3lUXf,2016-08-28 10:16:43,4368,50,1,151,1,3,0,9,
6.54E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BhattNaturally1: @TheBoodge66 @popstherock33 @marylene58 @stevej132 @ThePatriot143 @redlinepatriot @MikeWalters19 More CAIR #tcot #USA …,2016-09-14 9:21:29,1557,27,2,395,1,2,5,14,
6.54E+17,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","Want to work at BJ's Restaurants, Inc.? We're #hiring in #USA! Click for details: http://t.co/Jd4QZB57Vn #Hospitality #Job #Jobs #CareerArc",2016-11-11 23:27:28,3100,45,2,316,2,5,4,5,
6.54E+17,"<a href=""http://www.mba-exchange.com"" rel=""nofollow"">Mba Jobs in Pacific</a>","Senior #product #manager - Mobile Apps: Cyanogen, Inc., Seattle, WA. http://t.co/PT2v259CiN #MBA #jobs #USA",2016-09-15 15:3:35,1010,33,0,291,1,1,3,16,
6.54E+17,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>",Oracle: Principal Sales Consultant (#USA) http://t.co/c04ldnvCO9 #Sales #Job #Jobs #Hiring #CareerArc,2016-01-15 2:41:15,2876,37,1,139,1,10,2,10,
6.54E+17,"<a href=""http://www.mba-exchange.com"" rel=""nofollow"">Mba Jobs in South Atlantic</a>","Quality Data #program #manager: Mid-Atlantic Permanente Medical Group, Tysons Corner, VA. http://t.co/KalDXaD4t4 #MBA #jobs #USA",2016-10-10 6:13:14,2926,10,0,114,1,0,1,16,
6.54E+17,"<a href=""http://www.mba-exchange.com"" rel=""nofollow"">Mba Jobs in West North Central</a>","Construction #sales Account Executive: Serigraphics Sign Systems, Inc., Golden Valley, MN. http://t.co/lcHR2RSNPz #MBA #jobs #USA",2016-11-01 1:45:59,2889,18,2,203,0,3,5,12,
6.54E+17,"<a href=""http://www.mba-exchange.com"" rel=""nofollow"">Mba Jobs in New England</a>","Mgr, Global #corporate #sales: Starwood Hotels &amp;amp; Resorts Worldwide, Inc, Stamford, CT. http://t.co/kiTIxvR88p #MBA #jobs #USA",2016-04-26 4:12:6,1156,28,0,438,2,4,4,9,
6.54E+17,"<a href=""http://voteforclintons.com/"" rel=""nofollow"">voteforclintons</a>",#MyGovHillary #HillaryClinton to want Strong Families #USA in #California Shandon - http://t.co/uHziNui02j http://t.co/mJNMKcpSas,2016-04-23 19:29:26,4900,10,1,113,2,6,5,0,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",#NHL #Hockey #News Eichel scores unassisted goal in Sabres' victory  #USA http://t.co/utfoKvTKDz,2016-11-09 6:52:27,3157,41,1,131,1,1,0,12,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",#NHL #Hockey #News Eichel scores unassisted goal in Sabres' victory  #USA http://t.co/zvbzQHOCMk,2016-10-05 15:11:49,4496,39,0,80,1,8,3,13,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",#NHL #Hockey #News Lightning-Red Wings Preview  #USA http://t.co/utfoKvTKDz,2016-02-14 1:21:40,2099,27,0,382,1,0,2,1,
6.54E+17,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",#NHL #Hockey #News Lightning-Red Wings Preview  #USA http://t.co/zvbzQHOCMk,2016-10-19 2:53:55,2777,44,0,96,2,2,0,16,
